account_id,has_loan,n_transactions,mean_amount,std_amount,max_amount,mean_balance,std_balance,net_flow,withdrawal_ratio,tenure_days,days_since_last_transaction,transactions_per_month,n_standing_orders,total_order_amount,has_card
576,0,358,2445.863966480447,2541.4506306488984,12500.0,28105.38519553073,8235.318192093027,35550.899999999994,0.5949720670391061,2190,0,4.976036529680366,1.0,3662.0,0
3818,0,560,4916.421785714286,6383.578769700422,38080.0,46475.51946428571,11855.393623036456,62199.799999999996,0.725,2190,0,7.783744292237444,3.0,9135.0,0
704,0,479,5584.319832985387,7554.4337643451345,37800.0,35043.13256784969,11199.24235584916,81680.80000000002,0.6951983298538622,2190,0,6.657881278538813,2.0,3338.0,0
2378,0,435,12220.620459770116,14324.983737822055,63900.0,54666.0291954023,26473.5913298952,448821.89999999997,0.5402298850574713,2190,0,6.046301369863015,1.0,9612.0,0
2632,0,564,3893.8333333333335,5274.809397435863,21396.0,34629.72925531915,9834.525545996707,62959.59999999999,0.7411347517730497,2189,0,7.8429237094563735,3.0,4383.0,0
1972,0,369,2039.438753387534,1993.9744150487727,5950.0,22721.99024390244,4338.340481176078,23740.499999999996,0.6070460704607046,2189,0,5.131274554591138,1.0,2736.0,0
1539,0,452,8040.973230088495,10579.485855951998,61500.0,22393.436725663716,23219.128342618213,538625.5,0.5995575221238938,2188,0,6.2883363802559415,0.0,0.0,0
793,0,497,975.2603621730383,1153.239015763035,4900.0,23180.81670020121,5243.737875535093,19396.0,0.7082494969818913,2188,0,6.9143875685557585,3.0,2267.0,0
2484,0,608,3786.0184210526318,5613.835930953102,24300.0,30445.759703947366,8973.695618969681,43644.799999999996,0.7582236842105263,2188,0,8.458647166361974,4.0,4870.0,0
1695,0,459,13701.464052287582,14688.298587557445,64000.0,67113.99477124184,31337.680767698526,660605.2,0.4793028322440087,2188,0,6.385722120658135,1.0,14658.0,1
1726,0,602,3705.9908637873755,5325.869956599445,31840.0,26692.436212624583,7745.740481709994,34244.1,0.7441860465116279,2188,0,8.375173674588666,4.0,6709.0,0
2881,0,422,3300.175355450237,3709.827076404759,38560.0,37817.53578199052,12552.024919692576,52611.6,0.5687203791469194,2187,0,5.873653406492912,1.0,4639.0,0
2357,0,357,2532.15406162465,2734.288144417841,14550.0,23697.501680672267,5656.636008234934,38296.6,0.5938375350140056,2187,0,4.968943758573388,1.0,3869.0,0
